ID_Suporter,Nama,Jenis_Kelamin,Umur,Kota_Asal,Pekerjaan,Lama_Menjadi_Bonek,Frekuensi_Nonton,Transportasi,Pengeluaran_Tiket,Pengeluaran_Merchandise,Keanggotaan_Komunitas,Media_Informasi,Kepuasan_Pertandingan,Loyalitas
BNK001,"Balidin Dongoran, S.T.",Laki-laki,36,Sidoarjo,Guru,1,6,Motor,177036,178393,Tidak,Instagram,7,Rendah
BNK002,Darmana Mandala,Laki-laki,16,Lamongan,Guru,4,5,Kereta,144055,314951,Ya,X,10,Rendah
BNK003,"Ciaobella Wastuti, M.Pd",Perempuan,34,Pasuruan,Karyawan,13,11,Mobil,276166,447833,Ya,Facebook,7,Sedang
BNK004,Lantar Anggraini,Perempuan,19,Surabaya,Wiraswasta,7,5,Motor,132920,238208,Tidak,Instagram,8,Rendah
BNK005,Among Iswahyudi,Laki-laki,33,Surabaya,Mahasiswa,14,12,Bus,371100,352698,Ya,TikTok,7,Tinggi
BNK006,Daruna Mayasari,Laki-laki,19,Pasuruan,Karyawan,5,15,Mobil,486420,383281,Tidak,Instagram,8,Tinggi
BNK007,Cut Putri Napitupulu,Perempuan,35,Mojokerto,Guru,9,8,Mobil,232080,135669,Tidak,Instagram,9,Sedang
BNK008,"Sadina Palastri, S.Farm",Laki-laki,23,Lamongan,Guru,13,4,Bus,120672,260325,Ya,X,8,Rendah
BNK009,Ikin Rahmawati,Perempuan,28,Jombang,Guru,3,17,Kereta,498763,123206,Tidak,TikTok,7,Tinggi
BNK010,Yessi Ardianto,Laki-laki,20,Gresik,Mahasiswa,8,19,Kereta,503291,446247,Ya,X,6,Sangat Tinggi
BNK011,"KH. Capa Anggraini, S.Psi",Laki-laki,28,Sidoarjo,Guru,8,22,Bus,740718,181813,Tidak,Instagram,10,Sangat Tinggi
BNK012,Eva Pratama,Laki-laki,25,Sidoarjo,Karyawan,3,16,Mobil,518928,51701,Ya,Facebook,8,Tinggi
BNK013,"Tgk. Baktiono Iswahyudi, S.Sos",Perempuan,40,Kediri,Pelajar,9,8,Motor,269512,50299,Tidak,Facebook,10,Sedang
BNK014,Gatot Situmorang,Perempuan,23,Sidoarjo,Guru,4,4,Mobil,137180,91291,Ya,X,6,Rendah
BNK015,Tgk. Yani Gunawan,Laki-laki,33,Lamongan,Karyawan,5,8,Kereta,269160,368029,Tidak,X,9,Sedang
BNK016,"Michelle Nasyiah, S.IP",Perempuan,32,Surabaya,Guru,2,17,Mobil,494037,167806,Ya,Instagram,6,Tinggi
BNK017,Cindy Puspasari,Laki-laki,18,Lamongan,Karyawan,4,4,Kereta,104416,66469,Ya,TikTok,8,Rendah
BNK018,Yance Utami,Perempuan,39,Lamongan,Pelajar,10,21,Motor,687624,177400,Tidak,Facebook,9,Sangat Tinggi
BNK019,dr. Ratih Nababan,Laki-laki,29,Jombang,Karyawan,8,16,Motor,414192,403036,Ya,TikTok,6,Tinggi
BNK020,"Betania Gunawan, S.H.",Perempuan,22,Kediri,Mahasiswa,8,20,Motor,545920,271187,Tidak,Instagram,7,Sangat Tinggi
BNK021,"T. Bahuwirya Pradipta, S.IP",Laki-laki,17,Jombang,Wiraswasta,14,20,Kereta,504820,98896,Ya,X,7,Sangat Tinggi
BNK022,Indah Hasanah,Perempuan,17,Mojokerto,Wiraswasta,7,8,Kereta,200280,254693,Ya,TikTok,8,Sedang
BNK023,"Rafid Utama, S.E.",Laki-laki,25,Pasuruan,Pelajar,1,9,Motor,310401,435738,Tidak,TikTok,10,Sedang
BNK024,Kamila Pranowo,Laki-laki,17,Lamongan,Wiraswasta,2,19,Motor,532836,85924,Ya,Instagram,10,Sangat Tinggi
BNK025,"Emas Zulaika, S.Pt",Perempuan,35,Mojokerto,Mahasiswa,7,5,Bus,172810,346341,Ya,Facebook,10,Rendah
